Iso3,StartDate,EndDate,Area Code,Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag
#country+code,#date+start,#date+end,,#country+name,#indicator+code,#indicator+name,,,,#date+year,#indicator+type,#indicator+value+num,
IDN,1989-01-01,1989-12-31,101,Indonesia,22024,GDP Deflator,6179,"Value US$, 2015 prices",1989,1989,US$,49.514100,Fc
IDN,1990-01-01,1990-12-31,101,Indonesia,22024,GDP Deflator,6179,"Value US$, 2015 prices",1990,1990,US$,51.232300,Fc
IDN,1991-01-01,1991-12-31,101,Indonesia,22024,GDP Deflator,6179,"Value US$, 2015 prices",1991,1991,US$,52.682000,Fc
IDN,1992-01-01,1992-12-31,101,Indonesia,22024,GDP Deflator,6179,"Value US$, 2015 prices",1992,1992,US$,53.330800,Fc
IDN,1993-01-01,1993-12-31,101,Indonesia,22024,GDP Deflator,6179,"Value US$, 2015 prices",1993,1993,US$,56.476100,Fc
IDN,1994-01-01,1994-12-31,101,Indonesia,22024,GDP Deflator,6179,"Value US$, 2015 prices",1994,1994,US$,58.793500,Fc
IDN,1995-01-01,1995-12-31,101,Indonesia,22024,GDP Deflator,6179,"Value US$, 2015 prices",1995,1995,US$,62.078900,Fc
IDN,1996-01-01,1996-12-31,101,Indonesia,22024,GDP Deflator,6179,"Value US$, 2015 prices",1996,1996,US$,64.766900,Fc
IDN,1997-01-01,1997-12-31,101,Indonesia,22024,GDP Deflator,6179,"Value US$, 2015 prices",1997,1997,US$,58.698000,Fc
IDN,1998-01-01,1998-12-31,101,Indonesia,22024,GDP Deflator,6179,"Value US$, 2015 prices",1998,1998,US$,29.891200,Fc
IDN,1999-01-01,1999-12-31,101,Indonesia,22024,GDP Deflator,6179,"Value US$, 2015 prices",1999,1999,US$,43.500900,Fc
IDN,2000-01-01,2000-12-31,101,Indonesia,22024,GDP Deflator,6179,"Value US$, 2015 prices",2000,2000,US$,44.480200,Fc
IDN,2001-01-01,2001-12-31,101,Indonesia,22024,GDP Deflator,6179,"Value US$, 2015 prices",2001,2001,US$,41.727000,Fc
IDN,2002-01-01,2002-12-31,101,Indonesia,22024,GDP Deflator,6179,"Value US$, 2015 prices",2002,2002,US$,48.693900,Fc
IDN,2003-01-01,2003-12-31,101,Indonesia,22024,GDP Deflator,6179,"Value US$, 2015 prices",2003,2003,US$,55.762000,Fc
IDN,2004-01-01,2004-12-31,101,Indonesia,22024,GDP Deflator,6179,"Value US$, 2015 prices",2004,2004,US$,58.080700,Fc
IDN,2005-01-01,2005-12-31,101,Indonesia,22024,GDP Deflator,6179,"Value US$, 2015 prices",2005,2005,US$,61.164100,Fc
IDN,2006-01-01,2006-12-31,101,Indonesia,22024,GDP Deflator,6179,"Value US$, 2015 prices",2006,2006,US$,73.935800,Fc
IDN,2007-01-01,2007-12-31,101,Indonesia,22024,GDP Deflator,6179,"Value US$, 2015 prices",2007,2007,US$,82.424800,Fc
IDN,2008-01-01,2008-12-31,101,Indonesia,22024,GDP Deflator,6179,"Value US$, 2015 prices",2008,2008,US$,91.782300,Fc
IDN,2009-01-01,2009-12-31,101,Indonesia,22024,GDP Deflator,6179,"Value US$, 2015 prices",2009,2009,US$,92.768100,Fc
IDN,2010-01-01,2010-12-31,101,Indonesia,22024,GDP Deflator,6179,"Value US$, 2015 prices",2010,2010,US$,114.785000,Fc
IDN,2011-01-01,2011-12-31,101,Indonesia,22024,GDP Deflator,6179,"Value US$, 2015 prices",2011,2011,US$,127.855000,Fc
IDN,2012-01-01,2012-12-31,101,Indonesia,22024,GDP Deflator,6179,"Value US$, 2015 prices",2012,2012,US$,123.946000,Fc
IDN,2013-01-01,2013-12-31,101,Indonesia,22024,GDP Deflator,6179,"Value US$, 2015 prices",2013,2013,US$,116.737000,Fc
IDN,2014-01-01,2014-12-31,101,Indonesia,22024,GDP Deflator,6179,"Value US$, 2015 prices",2014,2014,US$,108.526000,Fc
IDN,2015-01-01,2015-12-31,101,Indonesia,22024,GDP Deflator,6179,"Value US$, 2015 prices",2015,2015,US$,100.000000,Fc
IDN,2016-01-01,2016-12-31,101,Indonesia,22024,GDP Deflator,6179,"Value US$, 2015 prices",2016,2016,US$,103.063000,Fc
IDN,2017-01-01,2017-12-31,101,Indonesia,22024,GDP Deflator,6179,"Value US$, 2015 prices",2017,2017,US$,106.905000,Fc
IDN,2018-01-01,2018-12-31,101,Indonesia,22024,GDP Deflator,6179,"Value US$, 2015 prices",2018,2018,US$,104.314000,Fc
IDN,2019-01-01,2019-12-31,101,Indonesia,22024,GDP Deflator,6179,"Value US$, 2015 prices",2019,2019,US$,106.657000,Fc
IDN,1970-01-01,1970-12-31,101,Indonesia,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",1970,1970,LCU,0.399200,Fc
IDN,1971-01-01,1971-12-31,101,Indonesia,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",1971,1971,LCU,0.419600,Fc
IDN,1972-01-01,1972-12-31,101,Indonesia,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",1972,1972,LCU,0.520900,Fc
IDN,1973-01-01,1973-12-31,101,Indonesia,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",1973,1973,LCU,0.627200,Fc
IDN,1974-01-01,1974-12-31,101,Indonesia,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",1974,1974,LCU,0.782700,Fc
IDN,1975-01-01,1975-12-31,101,Indonesia,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",1975,1975,LCU,0.977700,Fc
IDN,1976-01-01,1976-12-31,101,Indonesia,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",1976,1976,LCU,1.149400,Fc
IDN,1977-01-01,1977-12-31,101,Indonesia,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",1977,1977,LCU,1.183300,Fc
IDN,1978-01-01,1978-12-31,101,Indonesia,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",1978,1978,LCU,1.255800,Fc
IDN,1979-01-01,1979-12-31,101,Indonesia,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",1979,1979,LCU,1.726200,Fc
IDN,1980-01-01,1980-12-31,101,Indonesia,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",1980,1980,LCU,2.054300,Fc
IDN,1981-01-01,1981-12-31,101,Indonesia,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",1981,1981,LCU,2.754300,Fc
IDN,1982-01-01,1982-12-31,101,Indonesia,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",1982,1982,LCU,2.728700,Fc
IDN,1983-01-01,1983-12-31,101,Indonesia,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",1983,1983,LCU,3.231900,Fc
IDN,1984-01-01,1984-12-31,101,Indonesia,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",1984,1984,LCU,3.556800,Fc
IDN,1985-01-01,1985-12-31,101,Indonesia,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",1985,1985,LCU,3.685200,Fc
IDN,1986-01-01,1986-12-31,101,Indonesia,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",1986,1986,LCU,3.738800,Fc
IDN,1987-01-01,1987-12-31,101,Indonesia,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",1987,1987,LCU,4.430900,Fc
