Iso3,StartDate,EndDate,Area Code,Area,Item Code,Item,Element Code,Element,Year Code,Year,Months Code,Months,Unit,Value,Flag
IDN,1998-01-01,1998-12-31,101,Indonesia,973,"Meat live weight, buffalo",5530,Producer Price (LCU/tonne),1998,1998,7021,Annual value,LCU,4464000.000000,
IDN,1999-01-01,1999-12-31,101,Indonesia,973,"Meat live weight, buffalo",5530,Producer Price (LCU/tonne),1999,1999,7021,Annual value,LCU,8201000.000000,
IDN,2002-01-01,2002-12-31,101,Indonesia,973,"Meat live weight, buffalo",5530,Producer Price (LCU/tonne),2002,2002,7021,Annual value,LCU,8201000.000000,
IDN,2005-01-01,2005-12-31,101,Indonesia,973,"Meat live weight, buffalo",5530,Producer Price (LCU/tonne),2005,2005,7021,Annual value,LCU,22182460.000000,
IDN,2006-01-01,2006-12-31,101,Indonesia,973,"Meat live weight, buffalo",5530,Producer Price (LCU/tonne),2006,2006,7021,Annual value,LCU,24746565.000000,
IDN,2007-01-01,2007-12-31,101,Indonesia,973,"Meat live weight, buffalo",5530,Producer Price (LCU/tonne),2007,2007,7021,Annual value,LCU,28004570.000000,
IDN,2008-01-01,2008-12-31,101,Indonesia,973,"Meat live weight, buffalo",5530,Producer Price (LCU/tonne),2008,2008,7021,Annual value,LCU,28315671.000000,
IDN,2009-01-01,2009-12-31,101,Indonesia,973,"Meat live weight, buffalo",5530,Producer Price (LCU/tonne),2009,2009,7021,Annual value,LCU,34205713.000000,
IDN,2010-01-01,2010-12-31,101,Indonesia,973,"Meat live weight, buffalo",5530,Producer Price (LCU/tonne),2010,2010,7021,Annual value,LCU,38491451.000000,
IDN,2011-01-01,2011-12-31,101,Indonesia,973,"Meat live weight, buffalo",5530,Producer Price (LCU/tonne),2011,2011,7021,Annual value,LCU,36291244.000000,
IDN,2012-01-01,2012-12-31,101,Indonesia,973,"Meat live weight, buffalo",5530,Producer Price (LCU/tonne),2012,2012,7021,Annual value,LCU,37120316.000000,
IDN,2012-01-01,2012-01-31,101,Indonesia,973,"Meat live weight, buffalo",5530,Producer Price (LCU/tonne),2012,2012,7001,January,LCU,36744080.000000,
IDN,2012-02-01,2012-02-29,101,Indonesia,973,"Meat live weight, buffalo",5530,Producer Price (LCU/tonne),2012,2012,7002,February,LCU,36725704.000000,
IDN,2012-03-01,2012-03-31,101,Indonesia,973,"Meat live weight, buffalo",5530,Producer Price (LCU/tonne),2012,2012,7003,March,LCU,36706624.000000,
IDN,2012-04-01,2012-04-30,101,Indonesia,973,"Meat live weight, buffalo",5530,Producer Price (LCU/tonne),2012,2012,7004,April,LCU,36736004.000000,
IDN,2012-05-01,2012-05-31,101,Indonesia,973,"Meat live weight, buffalo",5530,Producer Price (LCU/tonne),2012,2012,7005,May,LCU,36808116.000000,
IDN,2012-06-01,2012-06-30,101,Indonesia,973,"Meat live weight, buffalo",5530,Producer Price (LCU/tonne),2012,2012,7006,June,LCU,36950880.000000,
IDN,2012-07-01,2012-07-31,101,Indonesia,973,"Meat live weight, buffalo",5530,Producer Price (LCU/tonne),2012,2012,7007,July,LCU,37191480.000000,
IDN,2012-08-01,2012-08-31,101,Indonesia,973,"Meat live weight, buffalo",5530,Producer Price (LCU/tonne),2012,2012,7008,August,LCU,37326364.000000,
IDN,2012-09-01,2012-09-30,101,Indonesia,973,"Meat live weight, buffalo",5530,Producer Price (LCU/tonne),2012,2012,7009,September,LCU,37327764.000000,
IDN,2012-10-01,2012-10-31,101,Indonesia,973,"Meat live weight, buffalo",5530,Producer Price (LCU/tonne),2012,2012,7010,October,LCU,37522512.000000,
IDN,2012-11-01,2012-11-30,101,Indonesia,973,"Meat live weight, buffalo",5530,Producer Price (LCU/tonne),2012,2012,7011,November,LCU,37571468.000000,
IDN,2012-12-01,2012-12-31,101,Indonesia,973,"Meat live weight, buffalo",5530,Producer Price (LCU/tonne),2012,2012,7012,December,LCU,37832776.000000,
IDN,2013-01-01,2013-12-31,101,Indonesia,973,"Meat live weight, buffalo",5530,Producer Price (LCU/tonne),2013,2013,7021,Annual value,LCU,38784008.000000,
IDN,2014-01-01,2014-12-31,101,Indonesia,973,"Meat live weight, buffalo",5530,Producer Price (LCU/tonne),2014,2014,7021,Annual value,LCU,42444612.000000,
IDN,2014-01-01,2014-01-31,101,Indonesia,973,"Meat live weight, buffalo",5530,Producer Price (LCU/tonne),2014,2014,7001,January,LCU,41346796.000000,
IDN,2014-02-01,2014-02-28,101,Indonesia,973,"Meat live weight, buffalo",5530,Producer Price (LCU/tonne),2014,2014,7002,February,LCU,41378896.000000,
IDN,2014-03-01,2014-03-31,101,Indonesia,973,"Meat live weight, buffalo",5530,Producer Price (LCU/tonne),2014,2014,7003,March,LCU,41762852.000000,
IDN,2014-04-01,2014-04-30,101,Indonesia,973,"Meat live weight, buffalo",5530,Producer Price (LCU/tonne),2014,2014,7004,April,LCU,41738280.000000,
IDN,2014-05-01,2014-05-31,101,Indonesia,973,"Meat live weight, buffalo",5530,Producer Price (LCU/tonne),2014,2014,7005,May,LCU,41934420.000000,
IDN,2014-06-01,2014-06-30,101,Indonesia,973,"Meat live weight, buffalo",5530,Producer Price (LCU/tonne),2014,2014,7006,June,LCU,42196884.000000,
IDN,2014-07-01,2014-07-31,101,Indonesia,973,"Meat live weight, buffalo",5530,Producer Price (LCU/tonne),2014,2014,7007,July,LCU,42660024.000000,
IDN,2014-08-01,2014-08-31,101,Indonesia,973,"Meat live weight, buffalo",5530,Producer Price (LCU/tonne),2014,2014,7008,August,LCU,42657240.000000,
IDN,2014-09-01,2014-09-30,101,Indonesia,973,"Meat live weight, buffalo",5530,Producer Price (LCU/tonne),2014,2014,7009,September,LCU,43123112.000000,
IDN,2014-10-01,2014-10-31,101,Indonesia,973,"Meat live weight, buffalo",5530,Producer Price (LCU/tonne),2014,2014,7010,October,LCU,43359184.000000,
IDN,2014-11-01,2014-11-30,101,Indonesia,973,"Meat live weight, buffalo",5530,Producer Price (LCU/tonne),2014,2014,7011,November,LCU,43380508.000000,
IDN,2014-12-01,2014-12-31,101,Indonesia,973,"Meat live weight, buffalo",5530,Producer Price (LCU/tonne),2014,2014,7012,December,LCU,43797164.000000,
IDN,2015-01-01,2015-12-31,101,Indonesia,973,"Meat live weight, buffalo",5530,Producer Price (LCU/tonne),2015,2015,7021,Annual value,LCU,47711220.000000,
IDN,2015-01-01,2015-01-31,101,Indonesia,973,"Meat live weight, buffalo",5530,Producer Price (LCU/tonne),2015,2015,7001,January,LCU,46695156.000000,
IDN,2015-02-01,2015-02-28,101,Indonesia,973,"Meat live weight, buffalo",5530,Producer Price (LCU/tonne),2015,2015,7002,February,LCU,46611684.000000,
IDN,2015-03-01,2015-03-31,101,Indonesia,973,"Meat live weight, buffalo",5530,Producer Price (LCU/tonne),2015,2015,7003,March,LCU,46720708.000000,
IDN,2015-04-01,2015-04-30,101,Indonesia,973,"Meat live weight, buffalo",5530,Producer Price (LCU/tonne),2015,2015,7004,April,LCU,46869180.000000,
IDN,2015-05-01,2015-05-31,101,Indonesia,973,"Meat live weight, buffalo",5530,Producer Price (LCU/tonne),2015,2015,7005,May,LCU,47031732.000000,
IDN,2015-06-01,2015-06-30,101,Indonesia,973,"Meat live weight, buffalo",5530,Producer Price (LCU/tonne),2015,2015,7006,June,LCU,47443280.000000,
IDN,2015-07-01,2015-07-31,101,Indonesia,973,"Meat live weight, buffalo",5530,Producer Price (LCU/tonne),2015,2015,7007,July,LCU,47900900.000000,
IDN,2015-08-01,2015-08-31,101,Indonesia,973,"Meat live weight, buffalo",5530,Producer Price (LCU/tonne),2015,2015,7008,August,LCU,48124784.000000,
IDN,2015-09-01,2015-09-30,101,Indonesia,973,"Meat live weight, buffalo",5530,Producer Price (LCU/tonne),2015,2015,7009,September,LCU,48774644.000000,
IDN,2015-10-01,2015-10-31,101,Indonesia,973,"Meat live weight, buffalo",5530,Producer Price (LCU/tonne),2015,2015,7010,October,LCU,48720312.000000,
IDN,2015-11-01,2015-11-30,101,Indonesia,973,"Meat live weight, buffalo",5530,Producer Price (LCU/tonne),2015,2015,7011,November,LCU,48722552.000000,
IDN,2015-12-01,2015-12-31,101,Indonesia,973,"Meat live weight, buffalo",5530,Producer Price (LCU/tonne),2015,2015,7012,December,LCU,48919712.000000,
IDN,2016-01-01,2016-12-31,101,Indonesia,973,"Meat live weight, buffalo",5530,Producer Price (LCU/tonne),2016,2016,7021,Annual value,LCU,51755496.000000,
IDN,2017-01-01,2017-12-31,101,Indonesia,973,"Meat live weight, buffalo",5530,Producer Price (LCU/tonne),2017,2017,7021,Annual value,LCU,51755496.000000,
IDN,2017-01-01,2017-01-31,101,Indonesia,973,"Meat live weight, buffalo",5530,Producer Price (LCU/tonne),2017,2017,7001,January,LCU,50811132.000000,
IDN,2017-02-01,2017-02-28,101,Indonesia,973,"Meat live weight, buffalo",5530,Producer Price (LCU/tonne),2017,2017,7002,February,LCU,51101312.000000,
IDN,2017-03-01,2017-03-31,101,Indonesia,973,"Meat live weight, buffalo",5530,Producer Price (LCU/tonne),2017,2017,7003,March,LCU,51178340.000000,
IDN,2017-04-01,2017-04-30,101,Indonesia,973,"Meat live weight, buffalo",5530,Producer Price (LCU/tonne),2017,2017,7004,April,LCU,51266324.000000,
IDN,2017-05-01,2017-05-31,101,Indonesia,973,"Meat live weight, buffalo",5530,Producer Price (LCU/tonne),2017,2017,7005,May,LCU,51155116.000000,
IDN,2017-06-01,2017-06-30,101,Indonesia,973,"Meat live weight, buffalo",5530,Producer Price (LCU/tonne),2017,2017,7006,June,LCU,51659244.000000,
IDN,2017-07-01,2017-07-31,101,Indonesia,973,"Meat live weight, buffalo",5530,Producer Price (LCU/tonne),2017,2017,7007,July,LCU,51849420.000000,
IDN,2017-08-01,2017-08-31,101,Indonesia,973,"Meat live weight, buffalo",5530,Producer Price (LCU/tonne),2017,2017,7008,August,LCU,52244544.000000,
IDN,2017-09-01,2017-09-30,101,Indonesia,973,"Meat live weight, buffalo",5530,Producer Price (LCU/tonne),2017,2017,7009,September,LCU,52787092.000000,
IDN,2017-10-01,2017-10-31,101,Indonesia,973,"Meat live weight, buffalo",5530,Producer Price (LCU/tonne),2017,2017,7010,October,LCU,52438724.000000,
IDN,2017-11-01,2017-11-30,101,Indonesia,973,"Meat live weight, buffalo",5530,Producer Price (LCU/tonne),2017,2017,7011,November,LCU,52212464.000000,
IDN,2017-12-01,2017-12-31,101,Indonesia,973,"Meat live weight, buffalo",5530,Producer Price (LCU/tonne),2017,2017,7012,December,LCU,52362220.000000,
IDN,2018-01-01,2018-12-31,101,Indonesia,973,"Meat live weight, buffalo",5530,Producer Price (LCU/tonne),2018,2018,7021,Annual value,LCU,59329961.700000,
IDN,2018-01-01,2018-01-31,101,Indonesia,973,"Meat live weight, buffalo",5530,Producer Price (LCU/tonne),2018,2018,7001,January,LCU,58555165.200000,
IDN,2018-02-01,2018-02-28,101,Indonesia,973,"Meat live weight, buffalo",5530,Producer Price (LCU/tonne),2018,2018,7002,February,LCU,58528045.500000,
